timestamp_sec,x_m,y_m,z_m,qx,qy,qz,qw,speed_m_s
1772816254.209196,0.976795,-2.899580,-5.838230,0.582546,0.371839,0.394180,0.605804,0.000000
1772816254.310228,0.994290,-2.941658,-5.828354,0.582497,0.371859,0.394156,0.605854,0.461517
1772816254.359298,1.002643,-2.962786,-5.823299,0.582465,0.371865,0.394137,0.605894,0.474315
1772816254.412071,1.011200,-2.985156,-5.817898,0.582460,0.371844,0.394145,0.605906,0.465237
1772816254.461464,1.019042,-3.006460,-5.812733,0.582465,0.371845,0.394118,0.605919,0.471370
1772816254.514111,1.027140,-3.029230,-5.807140,0.582445,0.371834,0.394135,0.605934,0.471167
1772816254.561068,1.154703,-3.024066,-5.308903,0.581720,0.370336,0.394350,0.607406,10.953296
1772816254.613617,1.157138,-3.028539,-5.293538,0.576182,0.365524,0.402067,0.610531,0.308037
1772816254.658492,1.160712,-3.024254,-5.283409,0.575811,0.366382,0.403043,0.609724,0.257704
1772816254.707756,1.201023,-3.077884,-5.244468,0.577305,0.366240,0.402723,0.608606,1.574624
1772816254.760579,1.207788,-3.089695,-5.226294,0.576284,0.366251,0.402324,0.609830,0.429866
1772816254.808579,1.219228,-3.106260,-5.204850,0.576500,0.366135,0.402644,0.609484,0.612744
1772816254.858147,1.234698,-3.128772,-5.180276,0.576436,0.366401,0.402517,0.609468,0.741262
1772816254.909473,1.248990,-3.149730,-5.155861,0.576371,0.366160,0.402586,0.609630,0.685962
1772816254.958649,1.292335,-3.125172,-5.138309,0.578456,0.364422,0.403115,0.608345,1.074102
1772816255.009978,1.310942,-3.143887,-5.113583,0.578250,0.364385,0.403259,0.608467,0.704561
1772816255.059317,1.329293,-3.161889,-5.088871,0.578337,0.364429,0.403213,0.608389,0.722725
1772816255.110559,1.348744,-3.180740,-5.062489,0.578221,0.364368,0.403205,0.608542,0.737901
1772816255.159219,1.367880,-3.199152,-5.036446,0.578239,0.364323,0.403203,0.608552,0.764381
1772816255.209022,1.387636,-3.217966,-5.009436,0.578193,0.364359,0.403206,0.608572,0.770834
1772816255.262567,1.408580,-3.237584,-4.980621,0.578137,0.364320,0.403207,0.608648,0.759489
1772816255.313183,1.429303,-3.256773,-4.951937,0.578144,0.364279,0.403218,0.608658,0.795296
1772816255.359157,1.448425,-3.274278,-4.925311,0.578104,0.364288,0.403202,0.608702,0.808323
1772816255.409812,1.469371,-3.293121,-4.895986,0.578089,0.364282,0.403184,0.608732,0.802811
1772816255.460619,1.490542,-3.311945,-4.866201,0.578067,0.364268,0.403182,0.608763,0.809054
1772816255.510306,1.511120,-3.328139,-4.834466,0.577983,0.364240,0.403186,0.608856,0.828062
1772816255.558807,1.532086,-3.346251,-4.804465,0.577976,0.364222,0.403174,0.608882,0.842004
1772816255.609178,1.554247,-3.365195,-4.772599,0.577931,0.364189,0.403169,0.608948,0.857461
1772816255.660439,1.576669,-3.384163,-4.740148,0.577900,0.364178,0.403155,0.608993,0.853796
1772816255.709515,1.599220,-3.403063,-4.707363,0.577864,0.364183,0.403145,0.609031,0.897653
1772816255.758716,1.621710,-3.421676,-4.674501,0.577845,0.364173,0.403117,0.609074,0.893392
1772816255.808960,1.645115,-3.440838,-4.640168,0.577828,0.364164,0.403107,0.609101,0.910689
1772816255.861363,1.669955,-3.460970,-4.603540,0.577795,0.364161,0.403096,0.609141,0.927829
